Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Date de création
Se nourrir,,Restos du coeur - Saint Fons,"9 Rue Pierre Dupont, 69190 Saint Fons","FERME JUSQU'AU 31 AOUT 

Distribution alimentaire, vestiaire, coiffure, point bébé 
Accès au droit

Horaires d'ouverture :
Inscription les jeudis de 8h30 à 11h30
Distribution adultes et enfants les mardis de 8h30 à 11h30",Tout public ,ad69.stfons@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=SAINT-FONS,09 82 49 82 28,1,,,,,
Se nourrir,,Restos du coeur - Saint Priest,"4 Boulevard François Reymond 69800, Saint Priest","Distribution alimentaire, vestiaire pour enfants, livres et séances de cinéma

Horaires d'ouverture :
Inscription les jeudis de 8h30 à 11h
Distribution adultes et enfants les mardis et vendredis de 8h30 à 11h",Tout public ,ad69.stpriest@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=SAINT-PRIEST,04 78 20 33 93,1,,,,,
Se nourrir,,Restos du coeur - Saint Symphorien sur Coise,"Maison des Association Saint Charles 69590, St Symphorien sur Coise ","OUVERT TOUTES LES 2 SEMAINES EN ETE 

Distribution alimentaire, livres, point bébé, séances de cinéma

Horaires d'ouverture :
Les jeudis : inscription de 9h à 12h et distribution de 14h à 17h",Tout public ,ad69.stsymphoriencoise@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=SAINT-SYMPHORIEN-SUR-COISE,04 78 57 52 84,1,,,,,
Se nourrir,,Restos du coeur - Tarare,"5 Rue Etienne Thomassin, 60170 Tarare ","Distribution alimentaire, vestiaire, livres, monilier, point bébé, séances de cinéma
Accès au droit et aides administratives (dont emploi)

Horaires d'ouverture :
Les jeudis de 8h30 à 11h30 puis de 13h à 16h",Tout public ,ad69.tarare@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=TARARE,04 74 05 21 29,1,,,,,
Se nourrir,,Restos du coeur - Vallée,"6-12 Espace Henry Vallée, 69007 Lyon ","FERME JUSQU'AU 31 AOUT 

Distribution alimentaire, livres
vestiaire, cours de français, séances de cinéma, santé sur rendez-vous.
Accès au droit, aides administratives et acceuil des migrants sur rendez-vous

Horaires d'ouverture :
Inscription les mardis, mercredis et jeudis de 13h à 16h30 et distribution de 13h à 17h",Tout public ,ad69.lyonvallee@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=LYON_VALLEE,04 72 76 96 20,1,,,,,
Se nourrir,,Restos du coeur - Vaulx en Velin,"74 Avenue du 8 mai 1945, 69120 Vaulx en Velin ","Distribution alimentaire, point bébé, séances de cinéma
Accès au droit 

Horaires d'ouverture :
Inscription les mardis de 8h30 à 11h30 et les vendredis de 13h30 à 16h30
Distribution adultes et enfants les mardis de 8h30 à 11h30 puis de 13h30 à 16h30 et les vendredis de 13h30 à 16h30",Tout public ,ad69.vaulxenvelin@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=VAULX-EN-VELIN,09 87 52 51 77,1,,,,,
Se nourrir,,Restos du coeur - Vénissieux,"11 - 13 Avenue de la République, 69200 Vénissieux","FERME JUSQU'AU 31 AOUT 

Distribution alimentaire, vestiaire, livres, séances de cinéma
Accès au droit et aide à l'emploi 

Horaires d'ouverture :
Les mardis de 8h30 à 11h puis de 13h30 à 15h45 (sur inscription)
Les jeudis de 13h30 à 15h45 (sur inscription)",Tout public ,ad69.venissieux@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=VENISSIEUX,04 78 67 56 00,1,,,,,
Se nourrir,,Restos du coeur - Villefranche sur Saône,"190 Rue Gantillon, 69400 Villefranche sur Saône","Distribution alimentaire, vestiaire
Accès au droit et aides administratives (dont emploi)

Horaires d'ouverture :
Les mardis et vendredis de 8h30 à 12h puis de 13h30 à 16h (sur inscription)",Tout public ,ad69.villefranche@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=VILLEFRANCHE-SUR-SAONE,04 74 60 00 44,1,,,,,
Se nourrir,,Restos du coeur - Villeurbanne,"25 Rue Hippolyte Kahn, 69100 Villeurbanne ","FERME JUSQU'AU 30 AOUT 

Distribution alimentaire, vestiaire, livres, séances de cinéma les mardis de 8h30 à 11h30 
Aide à l'emploi les mercredis de 9h30 à 11h30 (sur inscription)
Santé les lundis ou mardis de 13h30 à 16h30 

Horaires d'ouverture :
Les lundis, mardis de 13h30 à 16h30 et le mercredi de 13h30 à 16h30 puis de 17h à 18h30 (sur inscription de 9h à 11h30)",Tout public ,ad69.villeurbanne@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=VILLEURBANNE,04 78 84 35 63,1,,,,,
Vêtements et matériel,,Secours Catholique - Boutique solidaire Pont de Cheruy,"8 Rue du 8 mai 1945, 38230 Pont de Cheruy","Boutique solidaire et activités variés : 
Ateliers jeux et initiation à l’informatique, les lundis après-midi. 
Petit-déjeuner du jeudi matin et repas le dernier vendredi de chaque mois.
Atelier relaxation et tricot : les vendredis après-midi tous les 15 jours.
Atelier Théâtre : le mardi après-midi tous les quinze jours.
Cours de langue française pour étrangers et soutien scolaire pour des enfants d’origine étrangère

Horaires d'ouverture : 
Les mercredis et jeudis de 14h00 à 16h45",Tout public,martinetete@free.fr,,04 78 02 36 51,61,7,,,,
Vêtements et matériel,,"Secours Populaire -
Vaulx en Velin","15 Rue Franklin, 69120 Vaulx-enAULX-EN-VELIN","Boutique solidaire 

Horaires d'ouverture : 

Lundi et jeudi de 13h30 à 17h
Mercredi de 9h30 à 10h30 puis de 14h à 17h",Tout public,spfvaulx@laposte.net,https://www.secourspopulaire.fr/69/vaulx-en-velin,04 72 04 33 45,61,,,,,
Vêtements et matériel,,Secours Populaire - Maison des Sociétés Bron,"128 Avenue Saint Exupery, 69500 Bron","Aide alimentaire, aide vestimentaire avec la boutique de vêtements et bric à brac. Accompagnement social sur RDV les mardis de 14h à 17h. 

Horaires d'ouverture :
Les mardis et mercredis de 14h à 17h ",Tout public,bron@spf69.org,https://www.secourspopulaire.fr/69/bron,04 78 26 19 53,61,1,,,,
Vêtements et matériel,,Secours Populaire - Feyzin,"12 Rue du 8 mai 1945, 69320 Feyzin","Aide alimentaire, aide vestimentaire avec la boutique de vêtements et bric à brac. Accompagnement social sur RDV les mardis de 14h à 17h. 

Horaires d'ouverture : 
Lundi et mardi de 14h à 16h30 ",Tout public,"spfeyzin@bbox.fr",https://www.secourspopulaire.fr/69/feyzin,04 78 67 60 83,61,1,,,,
Vêtements et matériel,,Secours Populaire - Fontaines sur Saône,"4 Rue Ampère, 69270 Fontaines sur Saône","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture : 
Les vendredis de 14h à 17h",Tout public,spf.fontaines@orange.fr,https://www.secourspopulaire.fr/69/sathonayfontainessaone,04 78 23 86 35,61,1,,,,
Vêtements et matériel,,"Secours Populaire- Givors
Maison des Associations","8 Rue Jean Ligonnet, 69700 Givors","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture : 
Les mardis de 9h30 à 11h30
Les jeudis de 9h30 à 11h30 puis de 14h à 16h",Tout public,spf.givors@laposte.net,https://www.secourspopulaire.fr/69/comite-de-givors, 04 78 07 00 94,61,1,,,,
Vêtements et matériel,,Secours Populaire - Meyzieu,"22 avenue Lucien Buisson, 69330 Meyzieu ","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture : 
Les jeudis et vendredis de 14h à 16h ",Tout public,meyzieu@spf69.org,https://www.secourspopulaire.fr/69/meyzieu,04 72 02 77 76,61,1,,,,
Vêtements et matériel,,Secours Populaire - Ste Foy Les Lyon,"92 Chemin des Fonts, 69110 Ste Foy Les Lyon","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture (UNIQUEMENT LES SEMAINES PAIRES) : 
Les mardis de 9h à 12h puis de 14h à 18h 
Les mercredis de 9h à 12h",Tout public,saintefoyleslyon@spf69.org,https://www.secourspopulaire.fr/69/ste-foy-les-lyon,04 37 23 03 45,61,1,,,,
Vêtements et matériel,,"SECOURS POPULAIRE
Saint Priest","3 Rue Bel-Air, 69800 Saint-Priest","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture : 
Les lundis et jeudi de 9h à 12h puis de 14h à 17h30",Tout public,secourspopulairest.priest@wanadoo.fr,https://www.secourspopulaire.fr/69/st-priest,04 78 21 35 49,61,1,,,,
Vêtements et matériel,,Secours Populaire - Vénissieux,"99 Boulevard Irène Joliot Curie, 69200 Vénissieux","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture : 
Les mardis de 14h à 17h 
Les jeudis de 9h à 11h30 puis de 14h à 17h30",Tout public,secourspopulaire.venissieux@orange.fr,https://www.secourspopulaire.fr/69/29/venissieux,04 78 76 23 31,61,1,,,,
Vêtements et matériel,,Secours Populaire - Villeurbanne ,"50 BIS Cours Emile Zola, 69100 Villeurbanne","Propose une aide alimentaire et vestimentaire et assure des permanences d’accueil.

Horaires d'ouverture : 
Les lundis, mardis, mercredis et vendredis de 14h à 17h ",Tout public,Secours-populaire-francais69100@orange.fr,https://www.secourspopulaire.fr/secours-populaire#infos-structure-496,04 72 75 07 38,61,1,,,,
S'orienter,,SEPR - Croix Rouge ,"46 Rue Professeur Rochaix, 69003 Lyon","Centre de formations et accompagnement et aides aux etudiants. Un lieu de solidarité : la Co'op pour bénéficier d'un panier alimentaire

Assitance sociale
Soutien psycholgique : l'association Apsytude assure des permanences les mardis de 12h à 15h  
Aides financières et bourses scolaires sur dossier

Horaires d'ouverture : 
Du lundi au vendredi de 8h00 à 12h00 et de 14h00 à 18h00",Etudiants ,standard@sepr.edu,https://www.sepr.edu/accompagner-la-reussite/accompagnement-social-des-apprenants,04 72 83 27 27,5,,,,,
Se nourrir,,St Rambert Solidarité,"5 place Henri-Barbusse, 69009 Lyon ",Distribution alimentaire sur orientation d'un.e travailleur.e social.e ,Tout public,,,04 88 64 22 35,1,,,,,
Se nourrir,,"Conférence Saint-Vincent-de-Paul - Tassin

","7 Avenue Général Leclerc, 69160 Tassin",Distribution alimentaire,Tout public,,,,1,,,,,
Se nourrir,,Solidarité Sans Frontières,"57 cours Tolstoï, 69100 Villeurbanne","Epicerie solidaire qui propose des produits alimentaires et d’hygiène gratuits ou à bas prix aux personnes à faibles revenus

Horaires d'ouverture : 
Du lundi au samedi de 10h à 18h et le dimanche de 10h à 14h",Tout public,solidaritesansfrontieres691@gmail.com,,06 51 77 40 68,1,,,,,
Se nourrir,,Victoire - Aux délices de l'Espoir,"1 rue Auguste Blanqui, 69120 Vaulx-en-Velin","Épicerie sociale et solidaire, restaurant solidaire. 

Préparation de plats cuisinés pour personnes âgées ou en difficulté, à consommer sur place, à emporter, ou à livrer. 

Production de fruits et légumes et toute activité se rapportant à la restauration. Aide à l’entretien des appartements, maisons et jardins des personnes âgées.",Tout public,victoire.zohra69120@yahoo.fr,,07 54 81 89 95,1,,,,,
